endemic,"{'local', 'regional'}"
rarefy,"{'extenuate', 'diminish', 'needle', 'water', 'cook', 'disperse', 'spike', 'irrigate', 'refine', 'emaciate', 'doctor', 'prune', 'lace', 'reduce', 'attenuate', 'cut', 'delete', 'weed out', 'decrease', 'cut back', 'shave', 'water down', 'trim', 'edit', 'expand', 'weaken'}"
cadge,"{'hawk', 'panhandle', 'scrounge', 'bum', 'sponge', 'mooch', 'peddle', 'huckster'}"
fledgling,"{'nestling', 'novice', 'colt', 'tyro', 'trainee', 'neophyte', 'tenderfoot', 'greenhorn', 'newcomer', 'chick', 'apprentice', 'rookie', 'learner'}"
efficacy,"{'capableness', 'ability', 'potency', 'success', 'strength', 'effectiveness', 'capacity', 'performance', 'virtue', 'competence', 'weight', 'vigor', 'efficaciousness', 'capability', 'adequacy', 'energy', 'use', 'effect', 'sufficiency', 'influence', 'force', 'power'}"
castigate,"{'criticize', 'punish', 'chasten', 'penalize', 'censure', 'cane', 'scorch', 'beat', 'rail', 'whip', 'dress down', 'upbraid', 'flay', 'pummel', 'tongue-lash', ""jump down one's throat"", 'discipline', 'come down on', 'correct', 'scold', 'rate', 'lambaste', 'excoriate', 'berate', 'reprimand', 'chastise', 'drub', 'lash', 'ream', 'thrash', 'lean on', 'scourge', 'rebuke', 'flog', 'baste', 'chew out', 'bawl out', 'read the riot act', 'lay out', 'blister', 'drag over the coals', 'scarify', 'scathe'}"
iconoclast,"{'dissenter', 'cynic', 'dissident', 'sceptic', 'image-breaker', 'nonbeliever', 'revolutionist', 'denouncer', 'questioner', 'heretic', 'rebel', 'critic', 'ruiner', 'unbeliever', 'radical', 'non-conformist'}"
anachronism,"{'metachronism', 'misplacement', 'prolepsis', 'solecism', 'misdate', 'chronological error', 'postdate'}"
infer,"{'believe', 'figure', 'gather', 'collect', 'reason', 'presume', 'speculate', 'guess', 'surmise', 'reach conclusion', 'draw inference', 'suppose', 'ascertain', 'draw', 'figure out', 'judge', 'think', 'read between lines', 'construe', 'intuit', 'deduce', 'understand', 'presuppose', 'conjecture', 'assume', 'induce', 'glean', 'derive', 'reckon', 'arrive at', 'interpret', 'read into'}"
dearth,"{'uncommonness', 'defect', 'famine', 'scantiness', 'meagerness', 'default', 'privation', 'lack', 'deficiency', 'inadequacy', 'want', 'poverty', 'paucity', 'exiguousness', 'scantness', 'infrequency', 'need', 'slim pickings', 'sparsity', 'miss', 'shortage', 'rareness', 'absence'}"
inchoate,"{'amorphous', 'unfinished', 'unformed', 'imperfect', 'shapeless', 'just begun', 'rudimentary', 'unshaped', 'elementary', 'nascent', 'immature', 'embryonic', 'inceptive', 'incipient', 'preliminary', 'formless'}"
sedulous,"{'diligent', 'persevering', 'active', 'hard-working', 'plugging', 'industrious', 'tireless', 'busy', 'laborious', 'determined'}"
homogenous,"{'identical', 'uniform', 'kindred', 'consistent', 'alike', 'unvarying', 'analogous', 'cognate', 'like', 'akin', 'homologous'}"
ossified,"{'fossilized', 'rigid', 'hard', 'hardened', 'petrified'}"
perfidious,"{'deceptive', 'unfaithful', 'slick', 'untrustworthy', 'false', 'unloyal', 'faithless', 'insidious', 'unreliable', 'misleading', 'betraying', 'traitorous', 'recreant', 'shifty', 'undependable', 'snake in the grass', 'two-faced', 'deceitful', 'two-timing', 'double-crossing', 'double-dealing'}"
precursor,"{'messenger', 'vanguard', 'forerunner', 'herald', 'usher', 'outrider', 'harbinger'}"
engender,"{'spawn', 'bring forth', 'procreate', 'bring about', 'stir', 'produce', 'generate', 'hatch', 'precipitate', 'propagate', 'foment', 'quicken', 'give birth to', 'lead to', 'instigate', 'provoke', 'excite', 'muster', 'rouse', 'give rise to', 'make', 'work up', 'induce', 'arouse', 'occasion', 'beget', 'create', 'breed', 'develop', 'stimulate', 'incite'}"
zeal,"{'inclination', 'zest', 'mania', 'eagerness', 'devotion', 'push', 'dispatch', 'passion', 'fervor', 'warmth', 'drive', 'determination', 'fire', 'yen', 'enterprise', 'stick-to-itiveness', 'perseverance', 'verve', 'hustle', 'alacrity', 'ardor', 'gusto', 'earnestness', 'readiness', 'keenness', 'spirit', 'fierceness', 'diligence', 'bustle', 'sincerity', 'urgency', 'initiative', 'fanaticism', 'vehemence', 'intentness', 'intensity', 'what-it-takes'}"
precipitate,"{'launch', 'cast', 'send forth', 'expedite', 'trigger', 'speed up', 'throw', 'further', 'dispatch', 'hurl', 'push forward', 'press', 'let fly', 'discharge', 'bring on', 'quicken', 'accelerate', 'hasten', 'fling', 'advance'}"
ambiguous,"{'tenebrous', 'uncertain', 'unintelligible', 'indeterminate', 'cryptic', 'opaque', 'enigmatic', 'questionable', 'equivocal', 'puzzling', 'dubious', 'inexplicit', 'indefinite', 'inconclusive', 'enigmatical', 'multivocal', 'polysemous', 'muddy', 'clear as dishwater', 'doubtful', 'unclear', 'vague', 'obscure'}"
emulate,"{'contend with', 'compete with', 'outvie', 'ditto', 'take after', 'follow in footsteps', 'rivalize', 'follow', 'challenge', 'compete', 'mimic', 'pattern after', 'go like', 'contend', 'do', 'imitate', 'vie with', 'make like', 'do like', 'rival', 'follow suit', 'mirror', 'follow the example of'}"
exculpate,"{'condone', 'amnesty', 'free', 'rationalize', 'wipe slate clean', 'absolve', 'pardon', 'disculpate', 'remit', 'vindicate', 'justify', 'explain', 'exonerate', 'acquit', 'clear', 'release', 'discharge', 'let off', 'excuse', 'dismiss'}"
insensible,"{'cold', 'unsusceptible', 'unconscious', 'unmindful', 'insensate', 'inanimate', 'obdurate', 'torpid', 'unaware', 'unintelligible', 'inappreciable', 'gradual', 'oblivious', 'imperceivable', 'unimpressible', 'numb', 'imperceptible', 'unfeeling'}"
fathom,"{'sound', 'get', 'cognize', 'pierce', 'know', 'get to the bottom', 'follow', 'pinpoint', 'perceive', 'savvy', 'gauge', 'appreciate', 'probe', 'catch', 'unravel', 'measure', 'figure out', 'have', 'apprehend', 'plumb', 'penetrate', 'estimate', 'comprehend', 'dig', 'recognize', 'grasp', 'divine', 'interpret'}"
nefarious,"{'glaring', 'foul', 'miscreant', 'abominable', 'wicked', 'horrible', 'vile', 'flagrant', 'opprobrious', 'iniquitous', 'execrable', 'perverse', 'corrupt', 'degenerate', 'detestable', 'infernal', 'vicious', 'monstrous', 'rank', 'depraved', 'rotten', 'dreadful', 'villainous', 'odious', 'putrid', 'flagitious', 'infamous', 'base', 'outrageous', 'criminal', 'atrocious', 'gross', 'heinous', 'shameful', 'evil', 'treacherous'}"
abscond,"{'escape', 'jump', 'skip out', 'go AWOL', 'get', 'run off', 'fade', 'bolt', 'disappear', 'fly the coop', 'split', 'go south', 'make a break', 'leave', 'steal away', 'break', 'slip', 'cut and run', 'pull out', 'make off', 'decamp', 'dog it', 'sneak away', 'hightail', 'vamoose', 'make scarce', 'beat it', 'duck out', 'vanish', 'skedaddle', 'clear out', 'scram', 'flee', 'take off', 'quit'}"
impecunious,"{'destitute', 'homeless', 'insolvent', 'needy', 'beggared', 'broke', 'cleaned out', 'penniless', 'dirt poor', 'strapped', 'impoverished', 'unprosperous', 'indigent', 'necessitous', 'poor', 'penurious'}"
enervate,"{'weary', 'paralyze', 'fatigue', 'exhaust', 'disable', 'debilitate', 'sap', 'enfeeble', 'vitiate', 'jade', 'weaken', 'incapacitate', 'devitalize', 'unnerve'}"
complaisant,"{'amiable', 'indulgent', 'submissive', 'easy-going', 'lenient', 'obliging', 'deferential', 'generous', 'conciliatory', 'mild', 'accommodating', 'solicitous', 'good-tempered', 'easy', 'polite', 'compliant', 'friendly', 'good-humored', 'good-natured'}"
insular,"{'separate', 'bigoted', 'inward-looking', 'contracted', 'restricted', 'cut off', 'prejudiced', 'sequestered', 'provincial', 'separated', 'petty', 'narrow', 'circumscribed', 'closed', 'illiberal', 'confined', 'limited', 'isolated', 'secluded', 'detached', 'parochial'}"
exorbitant,"{'up to here', 'high', 'immoderate', 'extreme', 'pricey', 'unwarranted', 'absonant', 'inordinate', 'wasteful', 'unreasonable', 'enormous', 'expensive', 'undue', 'steep', 'towering', 'exacting', 'overboard', 'stiff', ""over one's head"", 'highway robbery', 'extortionate', 'outrageous', 'unconscionable', 'out of sight', 'preposterous', 'overmuch', 'dear'}"
extant,"{'living', 'current', 'contemporary', 'existing', 'present-day', 'remaining', 'surviving', 'not lost', 'instant', 'present', 'real', 'actual', 'around', 'immediate', 'undestroyed', 'being', 'subsisting', 'alive', 'existent', 'in current use'}"
eclectic,"{'mixed', 'assorted', 'multiform', 'universal', 'liberal', 'diversified', 'broad', 'dilettantish', 'mingled', 'heterogeneous', 'all-embracing', 'inclusive', 'wide-ranging', 'multifarious', 'varied', 'diverse', 'many-sided', 'selective', 'catholic'}"
esoteric,"{'arcane', 'cryptic', 'sibylline', 'hidden', 'private', 'orphic', 'inner', 'hermetic', 'abstruse', 'cabalistic', 'profound', 'heavy', 'recondite', 'Delphic', 'inscrutable', 'acroamatic', 'mystical', 'secret', 'mystic', 'deep', 'occult'}"
buttress,"{'abutment', 'stay', 'shore', 'column', 'mainstay', 'pier', 'prop', 'strut', 'reinforcement', 'stanchion', 'underpinning'}"
exacerbate,"{'intensify', 'rub salt in a wound', 'feed the fire', 'enrage', 'heighten', 'go from bad to worse', ""push one's button"", 'increase', 'egg on', 'heat up', 'worsen', 'fan the flames', 'aggravate', 'madden', 'provoke', 'embitter', 'excite', 'vex', 'exasperate', 'irritate', 'envenom', 'inflame', 'hit on', 'annoy', 'add insult to injury', ""rattle one's cage""}"
advocate,"{'attorney', 'pleader', 'apostle', 'campaigner', 'backer', 'exponent', 'expounder', 'counsel', 'spokesperson', 'proponent', 'upholder', 'speaker', 'supporter', 'lawyer', 'proposer', 'champion', 'defender', 'promoter'}"
innocuous,"{'jejune', 'weak', 'unobjectionable', 'innoxious', 'kind', 'innocent', 'bland', 'inoffensive', 'insipid', 'inobnoxious', 'sapless', 'unoffending', 'safe', 'painless', 'flat', 'banal'}"
volatile,"{'capricious', 'temperamental', 'ephemeral', 'airy', 'subtle', 'expansive', 'fickle', 'fugitive', 'flippant', 'light', 'fugacious', 'gay', 'whimsical', 'erratic', 'variable', 'buoyant', 'vaporous', 'resilient', 'giddy', 'elastic', 'short-lived', 'inconstant', 'mercurial', 'momentary', 'flighty', 'gaseous', 'unstable', 'transitory', 'transient', 'elusive', 'playful', 'impermanent', 'lubricious', 'ticklish', 'effervescent', 'lively', 'frivolous', 'fleeting', 'unsettled', 'sprightly', 'inconsistent', 'unsteady', 'up-and-down', 'imponderable'}"
petulant,"{'grumbling', 'grouchy', 'ill-humored', 'fractious', 'caviling', 'crybaby', 'irritable', 'perverse', 'pouting', 'sour', 'cross', 'querulous', 'sullen', 'ungracious', 'displeased', 'snappish', 'impatient', 'whining', 'sulky', 'captious', 'fretful', 'mean', 'cranky', 'fault-finding', 'peevish', 'whiny', 'uptight', 'complaining', 'bad-tempered', 'huffy', 'touchy', 'testy', 'waspish'}"
assuage,"{'compose', 'tranquilize', 'still', 'palliate', 'temper', 'conciliate', 'surfeit', 'cool', 'pacify', 'mitigate', 'ease', 'moderate', 'fill', 'mollify', 'placate', 'calm', 'take the edge off', 'take the sting out', 'quench', 'make nice', 'lull', 'satisfy', 'sweeten', 'quiet', 'propitiate', 'soften', 'lighten', 'sate', 'allay', 'appease', 'alleviate', 'pour oil on', 'lessen'}"
blandishment,"{'allurement', 'fawning', 'blandishments', 'wheedling', 'enticement', 'praise', 'sweet talk', 'coaxing', 'adulation', 'sweet words', 'blarney', 'honeyed words', 'cajolery', 'sycophancy'}"
taciturn,"{'close-mouthed', 'distant', 'unexpressive', 'cold', 'reticent', 'unforthcoming', 'mum', 'antisocial', 'reserved', 'silent', 'sententious', 'dour', 'brooding', 'close', 'dried-up', 'quiet', 'withdrawn', 'tight-lipped', 'speechless', 'sparing', 'curt', 'mute', 'clammed up', 'aloof', 'dumb', 'laconic'}"
corporeal,"{'mortal', 'human', 'phenomenal', 'fleshy', 'carnal', 'material', 'substantial', 'somatic', 'tangible', 'objective', 'anatomical', 'fleshly', 'corporal', 'sensible'}"
peccadillo,"{'bad habit', 'slight transgression', 'vice', 'minor fault', 'minor sin', 'impropriety', 'petty offense', 'small infraction', 'faux pas', 'indiscretion', 'misdemeanor', 'small sin', 'venial sin', 'minor infraction'}"
insipid,"{'blah', 'tired', 'weak', 'soft', 'stale', 'nothing', 'nebbish', 'prosy', 'ordinary', 'beige', 'commonplace', 'unimaginative', 'inane', 'colorless', 'watery', 'flat', 'weariful', 'ho-hum', 'tame', 'characterless', 'innocuous', 'drab', 'wearisome', 'dead', 'bland', 'plain', 'tedious', 'driveling', 'stupid', 'limp', 'pointless', 'trite', 'dry', 'jejune', 'thin', 'vapid', 'wishy-washy', 'mundane', 'slight', 'spiritless', 'lifeless', 'mild', 'arid', 'feeble', 'subdued', 'prosaic', 'tenuous', 'anemic', 'banal'}"
tacit,"{'assumed', 'implied', 'suggested', 'understood', 'unsaid', 'inferred', 'unstated', 'silent', 'undeclared', 'inarticulate', 'indirect', 'unexpressed', 'implicit', 'unspoken', 'allusive', 'unvoiced', 'alluded to', 'intimated', 'wordless', 'hinted at'}"
implication,"{'union', 'overtone', 'reference', 'guess', 'conclusion', 'incrimination', 'hint', 'inference', 'entanglement', 'ramification', 'link', 'undertone', 'hypothesis', 'intimation', 'signification', 'significance', 'connection', 'innuendo', 'presumption', 'connotation', 'involvement', 'assumption', 'indication', 'meaning'}"
panegyric,"{'acclamatory', 'praising', 'complimentary'}"
audacious,"{'cheeky', 'brave', 'ungoverned', 'valiant', 'fearless', 'unafraid', 'aweless', 'intrepid', 'uncurbed', 'brassy', 'dauntless', 'foolhardy', 'risky', 'bold', 'resolute', 'undaunted', 'gutty', 'adventurous', 'venturesome', 'rash', 'smart ass', 'courageous', 'daredevil', 'nervy', 'enterprising'}"
specious,"{'deceptive', 'sophistical', 'incorrect', 'presumable', 'wrong', 'spurious', 'colorable', 'false', 'ostensible', 'probable', 'apparently right', 'plausible', 'vain', 'sophistic', 'illogical', 'seeming', 'nugatory', 'fallacious', 'hollow', 'apparent', 'beguiling', 'credible', 'flattering', 'unsound', 'casuistic', 'pretentious', 'captious', 'empty', 'untrue', 'inaccurate', 'idle', 'likely', 'delusive', 'erroneous', 'presumptive', 'sophisticated', 'ostentatious'}"
ambrosial,"{'heavenly', 'luscious', 'fragrant', 'delicate'}"
Pulchritudinous,"{'sublime', 'excellent', 'exquisite', 'pretty', 'beauteous', 'radiant', 'easy on the eyes', 'resplendent', 'handsome', 'fascinating', 'delicate', 'taking', 'well-formed', 'superb', 'refined', 'admirable', 'charming', 'lovely', 'wonderful', 'stunning', 'graceful', 'splendid', 'symmetrical', 'appealing', 'classy', 'delightful', 'cute', 'fine', 'enticing', 'bewitching', 'marvelous', 'grand', 'angelic', 'ravishing', 'attractive', 'elegant', 'nice', 'alluring', 'magnificent', 'sightly', 'statuesque', 'ideal', 'dazzling', 'comely', 'shapely', 'divine', 'gorgeous', 'fair', 'good-looking', 'foxy', 'pleasing'}"
vex,"{'harry', 'upset', 'offend', 'agitate', 'abrade', 'give a bad time', 'pester', 'pique', 'give a hard time', 'afflict', 'needle', 'eat', 'hassle', 'depress', 'tick off', 'displease', 'fret', 'molest', 'infuriate', 'plague', 'trouble', 'grate on', 'rile', 'gall', 'anger', 'embarrass', 'nettle', 'aggravate', 'provoke', ""get in one's hair"", 'tease', 'irk', 'worry', 'turn off', 'disquiet', 'exasperate', 'irritate', 'peeve', 'torment', 'ride', 'put out', 'annoy', 'be at', 'perplex', 'chafe', 'rasp', ""get under one's skin"", 'disturb', 'harass'}"
temperate,"{'balmy', 'unextreme', 'unexcessive', 'soft', 'conservative', 'pleasant', 'cool', 'sensible', 'unimpassioned', 'even', 'constant', 'discreet', 'regulated', 'steady', 'self-controlled', 'medium', 'even-tempered', 'levelheaded', 'gentle', 'collected', 'warm', 'restrained', 'equable', 'dispassionate', 'clement', 'reasonable', 'modest', 'composed', 'mild', 'checked', 'curbed', 'self-restrained', 'fair', 'agreeable', 'sober', 'stable'}"
tortuous,"{'circuitous', 'meandering', 'mazy', 'flexuous', 'twisting', 'vermiculate', 'crooked', 'zigzag', 'meandrous', 'anfractuous', 'labyrinthine', 'winding', 'bent', 'involute', 'sinuous', 'convoluted', 'snaky', 'indirect', 'roundabout', 'curved', 'serpentine'}"
reproof,"{'disapprobation', 'blame', 'criticism', 'disapproval', 'objection'}"
equivocal,"{'tenebrous', 'clouded', 'unintelligible', 'indeterminate', 'muzzy', 'suspicious', 'fishy', 'hazy', 'questionable', 'ambiguous', 'amphibological', 'unexplicit', 'puzzling', 'problematic', 'borderline', 'undecided', 'dubious', 'misleading', 'indefinite', 'indistinct', 'muddled', 'ambivalent', 'fuzzy', 'open', 'unclear', 'evasive', 'disreputable', 'oblique', 'with mixed feelings', 'suspect', 'vague', 'clear as mud', 'obscure'}"
incorrigible,"{'unreformed', 'wicked', 'abandoned', 'incurable', 'irredeemable', 'hardened', 'intractable', 'beastly', 'irreparable', 'loser', 'recidivous', 'uncorrectable', 'useless', 'inveterate'}"
depredation,"{'spoliation', 'theft', 'crime', 'robbery', 'laying waste', 'marauding', 'rapine', 'despoiling', 'pillage', 'plunder', 'wasting', 'ravaging', 'stealing', 'sacking', 'burglary', 'ransacking', 'desecration', 'desolation'}"
prodigal,"{'extravagant', 'spendthrift', 'squandering', 'immoderate', 'reckless', 'improvident', 'dissipated', 'profligate', 'lavish', 'intemperate', 'wanton', 'excessive'}"
barefaced,"{'glaring', 'impudent', 'flagrant', 'obvious', 'audacious', 'unconcealed', 'palpable', 'candid', 'manifest', 'unabashed', 'blatant', 'naked', 'apparent', 'frank', 'temerarious', 'brassy', 'brazen', 'arrant', 'immodest', 'bold', 'insolent', 'brash', 'clear', 'blunt', 'transparent'}"
sagacious,"{'clever', 'perspicacious', 'far-sighted', 'witty', 'discerning', 'acute', 'smooth', 'keen', 'gnostic', 'cool', 'sensible', 'shrewd', 'hip', 'rational', 'knowing', 'knowledgeable', 'discriminating', 'sapient', 'savvy', 'heady', 'canny', 'insightful', 'astute', 'clear-sighted', 'sage', 'sharp', 'intelligent', 'sophic', 'prudent', 'astucious', 'perceptive', 'apt', 'wise', 'cagey', 'foxy'}"
diatribe,"{'tirade', 'stricture', 'castigation', 'philippic', 'reviling', 'vituperation', 'onslaught', 'abuse', 'invective', 'screed', 'jeremiad', 'denunciation', 'objection', 'disputation'}"
voracious,"{'gluttonous', 'starved to death', 'gorging', 'edacious', 'uncontrolled', 'ravenous', 'omnivorous', 'devouring', 'piggy', 'starving', 'dog-hungry', 'empty', 'unquenchable', 'starved', 'covetous', 'rapacious', 'sating', 'avid', 'insatiable', 'prodigious', 'gross', 'grasping', 'ravening'}"
encomium,"{'laudation', 'commendation', 'tribute', 'accolade', 'praise', 'eulogy', 'panegyric', 'salutation'}"
inhibit,"{'cramp', 'withhold', 'ward', 'outlaw', 'taboo', 'arrest', 'frustrate', 'faze', 'stymie', 'interdict', 'hold in', 'put on brakes', 'curb', 'hang up', 'suppress', 'bar', 'hog-tie', 'avert', 'constrain', 'forbid', 'hinder', 'restrain', 'bridle', 'keep in', 'enjoin', 'hold back', 'obstruct', 'discourage', 'sandbag', 'stop', 'bit', 'repress', 'impede', 'check', 'prohibit', 'hold down'}"
leviathan,"{'goliath', 'giant', 'Samson', 'titan', 'behemoth', 'Godzilla', 'Gargantua', 'Hercules', 'cyclops', 'mammoth'}"
obdurate,"{'dogged', 'tough', 'unshakable', 'unrelenting', 'callous', 'hanging tough', 'uncompromising', 'bullhead', 'uncooperative', 'set in stone', 'mulish', 'perverse', 'hard-boiled', 'firm', 'relentless', 'unyielding', 'inexorable', 'harsh', 'hard-hearted', 'indurate', 'stiff-necked', 'rigid', 'unimpressible', 'immovable', 'tough nut to crack', 'unbending', 'mean', 'unfeeling', 'uncompassionate', 'hard-nosed', 'inflexible', 'cold fish', 'heartless', 'adamant', 'hard', 'iron', 'thick-skinned', 'unemotional', 'obstinate', 'implacable', 'fixed', 'unsympathetic'}"
ingenious,"{'innovatory', 'bright', 'resourceful', 'skillful', 'subtle', 'deviceful', 'dexterous', 'ready', 'shrewd', 'innovational', 'gifted', 'crafty', 'innovative', 'sly', 'inventive', 'artistic', 'able', 'creative', 'canny', 'adroit', 'original', 'imaginative', 'intelligent', 'cunning'}"
ponderous,"{'graceless', 'dull', 'elephantine', 'bulky', 'unhandy', 'burdensome', 'substantial', 'onerous', 'cumbrous', 'huge', 'weighty', 'oppressive', 'troublesome', 'lifeless', 'laborious', 'awkward', 'clumsy', 'unwieldy', 'massive', 'hefty', 'lumbering'}"
prevaricate,"{'tergiversate', 'dodge', 'misrepresent', 'fabricate', 'distort', 'misspeak', 'lie', 'jive', 'beat around the bush', 'exaggerate', 'evade', 'equivocate', 'quibble', 'beg the question', 'phony up', 'garble', 'put on', 'hedge', 'invent', 'cavil', 'con', 'fib', 'belie', 'shuffle', 'shift', 'falsify', 'palter'}"
anomalous,"{'unrepresentative', 'peculiar', 'rare', 'divergent', 'preternatural', 'eccentric', 'strange', 'aberrant', 'heteroclite', 'untypical', 'odd', 'unusual', 'bizarre', 'exceptional', 'foreign', 'irregular', 'abnormal', 'prodigious', 'incongruous', 'inconsistent', 'unorthodox', 'atypical', 'unnatural'}"
breach,"{'crack', 'discontinuity', 'chasm', 'break', 'opening', 'fissure', 'rupture', 'hole', 'aperture', 'rift', 'split', 'chip', 'cleft', 'slit', 'rent'}"
conflagration,"{'rapid oxidation', 'inferno', 'blaze', 'up in smoke', 'wildfire', 'bonfire', 'holocaust', 'burning', 'flaming'}"
diffident,"{'unassertive', 'sheepish', 'unsure', 'retiring', 'unobtrusive', 'shy', 'reluctant', 'coy', 'suspicious', 'bashful', 'self-effacing', 'unassuming', 'distrustful', 'backward', 'blenching', 'dubious', 'insecure', 'meek', 'reserved', 'unassured', 'chary', 'demure', 'timorous', 'humble', 'flinching', 'rabbity', 'withdrawn', 'doubtful', 'unpoised', 'self-conscious', 'modest', 'constrained', 'mousy', 'shrinking', 'timid'}"
lugubrious,"{'sorrowful', 'gloomy', 'mournful', 'pensive', 'sad'}"
attenuate,"{'shrink', 'extenuate', 'mitigate', 'abate', 'undermine', 'thin', 'contract', 'disable', 'debilitate', 'sap', 'enfeeble', 'vitiate', 'deflate', 'dissipate', 'lessen', 'cripple', 'constrict'}"
loquacious,"{'long-winded', 'loose-lipped', 'chatty', 'motormouth', 'prolix', 'voluble', 'yacking', 'jabbering', 'multiloquent', 'wordy', 'chattering', 'fluent', 'garrulous', 'verbose', 'gabby', 'babbling', 'gossipy'}"
effluent,"{'escape', 'flow', 'emerging', 'welling', 'derivation', 'emission', 'beginning', 'issuance', 'gush', 'origination', 'exhalation', 'flowing', 'issuing', 'outpour', 'oozing', 'springing', 'ejaculation', 'efflux', 'exudation', 'leakage', 'effusion', 'outflow', 'origin', 'drainage', 'proceeding', 'radiation', 'arising', 'effluence'}"
dispassionate,"{'tough', 'just', 'cool cat', ""couldn't care less"", 'poker-faced', 'abstract', 'indifferent', 'cool', 'nondiscriminatory', 'candid', 'temperate', 'unexcitable', 'impersonal', 'moderate', 'unruffled', 'uninvolved', 'disinterested', 'neutral', 'unmoved', 'nonpartisan', 'unexcited', 'calm', 'laid back', 'unprejudiced', 'unbiased', 'collected', 'objective', 'cold-fish', 'quiet', 'iceberg', 'judicial', 'cold-blooded', 'composed', 'detached', 'unemotional', 'serene', 'fair', 'sober', 'aloof', 'imperturbable', 'unflappable'}"
laconic,"{'concise', 'curt', 'brief', 'crisp', 'brusque', 'sententious', 'short and sweet', 'succinct', 'compendiary', 'terse', 'compact', 'breviloquent', 'pithy', 'compendious'}"
depict,"{'report', 'portray', 'represent', 'characterize', 'relate', 'design', 'sculpt', 'limn', 'picture', 'narrate', 'sketch', 'reproduce', 'illustrate', 'outline', 'image', 'state', 'interpret', 'detail', 'paint', 'delineate'}"
arbitrate,"{'interpose', 'negotiate', 'referee', 'adjudicate', 'parley', 'smooth', 'strike happy medium', 'trade off', 'work out a deal', 'conciliate', 'step in', 'hammer out a deal', 'play ball', 'come to terms', 'straighten out', 'make a deal', 'settle', 'umpire', 'bring to terms', 'meet halfway', 'placate', 'reconcile', 'determine', 'adjust', 'come to school', 'soothe', 'pass judgment', 'judge', 'adjudge', 'mediate', 'intervene', 'decide'}"
